Date,Year,Month,Day,Mean Temp (°C),Min Temp (°C),Max Temp (°C),Total Precip (mm),Spd of Max Gust (km/h),Pressure
01/03/2020,2020,3,1,27.2,24.2,30.6,8.9,29.6,1006.6
02/03/2020,2020,3,2,26.8,25.5,29,,27.8,1007.6
03/03/2020,2020,3,3,27.1,25,30,9.9,29.6,1008.5
04/03/2020,2020,3,4,27.3,24.3,31.3,3,25.9,1008.8
05/03/2020,2020,3,5,27.4,25,30.4,,31.5,1009.6
06/03/2020,2020,3,6,27.7,26.9,31.1,0.5,35.2,1010.6
07/03/2020,2020,3,7,26.4,24,29.7,6.1,31.5,1010.8
08/03/2020,2020,3,8,25.8,23.7,29.6,37.1,31.5,1011.5
09/03/2020,2020,3,9,25.8,23.4,28.4,26.9,42.6,1010.6
10/03/2020,2020,3,10,26.9,25,30,,42.6,1010.3
11/03/2020,2020,3,11,27.3,25.5,30.4,1,35.2,1009.7
12/03/2020,2020,3,12,26.2,24.5,29,,27.8,1010.3
13/03/2020,2020,3,13,23.9,23,26.7,117.1,29.6,1011.2
14/03/2020,2020,3,14,25.5,22,28.5,25.9,27.8,1011.3
15/03/2020,2020,3,15,26.5,24,29.1,,25.9,1009.5
16/03/2020,2020,3,16,25.2,22,27.2,,24.1,1007.3
17/03/2020,2020,3,17,25.9,23,29,,44.5,1006.1
18/03/2020,2020,3,18,26.6,23,30.4,0,31.5,1009.3
19/03/2020,2020,3,19,26.2,23,29.1,,29.6,1011.9
20/03/2020,2020,3,20,25.9,22,29,,25.9,1014.4
21/03/2020,2020,3,21,25.8,19.8,29.6,0,24.1,1015.8
22/03/2020,2020,3,22,26.1,21.7,28.5,0,33.3,1017.2
23/03/2020,2020,3,23,26.7,24.2,29.1,3,35.2,1016.6
24/03/2020,2020,3,24,26.7,24.7,28.1,23.1,33.3,1014.8
25/03/2020,2020,3,25,27,25.8,29.4,1,31.5,1012.3
26/03/2020,2020,3,26,27,25,29.3,,37,1012.6
27/03/2020,2020,3,27,26.5,23,29,,33.3,1013.9
28/03/2020,2020,3,28,25.9,21,30,,25.9,1012.8
29/03/2020,2020,3,29,27.6,26,30,,31.5,1010.5
30/03/2020,2020,3,30,28,26,30,,35.2,1009.8
31/03/2020,2020,3,31,27.2,25,30,,29.6,1009.9
01/04/2020,2020,4,1,27.1,25,29.4,,25.9,1009.4
02/04/2020,2020,4,2,26.5,24.6,29,,25.9,1008.3
03/04/2020,2020,4,3,25.6,23,29,,24.1,1008.5
04/04/2020,2020,4,4,25.5,23,28.1,,29.6,1010.1
05/04/2020,2020,4,5,26.9,25,29,,29.6,1013.6
06/04/2020,2020,4,6,26.4,25,28.3,,35.2,1015.9
07/04/2020,2020,4,7,26.8,25,29,,38.9,1016.9
08/04/2020,2020,4,8,27,24,29.1,,38.9,1017.9
09/04/2020,2020,4,9,27.1,25,30,,40.8,1017.8
10/04/2020,2020,4,10,26.4,24,29,,35.2,1017.7
11/04/2020,2020,4,11,26.3,24,28.7,,40.8,1018.4
12/04/2020,2020,4,12,26.5,23,29,,42.6,1018.3
13/04/2020,2020,4,13,25.6,23,28.4,,40.8,1017.6
14/04/2020,2020,4,14,26.2,24,28.6,,40.8,1017.9
15/04/2020,2020,4,15,26.2,24,28,,44.5,1019.1
16/04/2020,2020,4,16,25.8,24,28.2,,40.8,1018.1
17/04/2020,2020,4,17,25.3,24,27.6,,40.8,1017.1
18/04/2020,2020,4,18,26,24,28,,40.8,1016.9
19/04/2020,2020,4,19,26.2,24.9,28.1,,37,1016
20/04/2020,2020,4,20,24.7,23,27.1,,38.9,1016.2
21/04/2020,2020,4,21,25.4,24,27.7,,42.6,1016.4
22/04/2020,2020,4,22,25.3,23,27.8,,37,1015.4
23/04/2020,2020,4,23,25.7,23.8,28.9,1,33.3,1014.9
24/04/2020,2020,4,24,24.7,23.1,26.6,0.8,37,1014.4
25/04/2020,2020,4,25,25,22.9,28.4,39.1,29.6,1013.2
26/04/2020,2020,4,26,25.6,22,30,,20.4,1013.7
27/04/2020,2020,4,27,25.6,23,29,,37,1016.7
28/04/2020,2020,4,28,24.4,22,26,,37,1019.4
29/04/2020,2020,4,29,23.6,21,26.4,,38.9,1020.1
30/04/2020,2020,4,30,24.3,21,27,,40.8,1021.1
01/05/2020,2020,5,1,25.1,24,27,,42.6,1020.7
02/05/2020,2020,5,2,24.5,23,27,,37,1018.4
03/05/2020,2020,5,3,23.6,22,25.7,,35.2,1016.7
04/05/2020,2020,5,4,25.7,24,28,,37,1018
05/05/2020,2020,5,5,25.1,22,28,,33.3,1018.3
06/05/2020,2020,5,6,25.1,22.7,28.2,,35.2,1018.1
07/05/2020,2020,5,7,24.7,22,28,,31.5,1016.7
08/05/2020,2020,5,8,24.5,22.4,27,,22.2,1014.9
09/05/2020,2020,5,9,24.4,22,27.2,,29.6,1016.3
10/05/2020,2020,5,10,24.3,23,26.5,,35.2,1018.2
11/05/2020,2020,5,11,23.3,22,25.2,,35.2,1019.2
12/05/2020,2020,5,12,23.6,21,26,,29.6,1018
13/05/2020,2020,5,13,23.9,22,26.6,,31.5,1017.7
14/05/2020,2020,5,14,24,21,27,,33.3,1016.7
15/05/2020,2020,5,15,23.4,19,27.4,,31.5,1015.2
16/05/2020,2020,5,16,23.4,19,28.2,,22.2,1015.3
17/05/2020,2020,5,17,23.8,21,27,,25.9,1017.3
18/05/2020,2020,5,18,23.4,21,26,,33.3,1019.5
19/05/2020,2020,5,19,23,19,26,,33.3,1019.5
20/05/2020,2020,5,20,23.1,21,25.4,,42.6,1020.9
21/05/2020,2020,5,21,23.7,20.6,26,,51.8,1021.7
22/05/2020,2020,5,22,24.3,23,26,,48.2,1022.4
23/05/2020,2020,5,23,24,22,26,,42.6,1021
24/05/2020,2020,5,24,22.2,19.4,25,,29.6,1019
25/05/2020,2020,5,25,22.7,19,26,7.9,33.3,1018.9
26/05/2020,2020,5,26,24.2,22,26.2,,35.2,1019.7
27/05/2020,2020,5,27,24.6,23,27,,35.2,1020.6
28/05/2020,2020,5,28,25,23.5,27.1,,38.9,1020.6
29/05/2020,2020,5,29,24.7,22,27.3,,38.9,1020
30/05/2020,2020,5,30,23.1,19,27,,33.3,1019.3
31/05/2020,2020,5,31,23,19.7,26.2,,25.9,1019.7
01/06/2020,2020,6,1,24.1,22.9,26.5,,33.3,1020.7
02/06/2020,2020,6,2,22.9,21,24,,37,1020.4
03/06/2020,2020,6,3,23.2,21.9,25,,40.8,1021.2
04/06/2020,2020,6,4,23.2,22,25,,38.9,1022.1
05/06/2020,2020,6,5,23.4,21.9,26,,33.3,1021.2
06/06/2020,2020,6,6,21.4,18.5,25,,31.5,1019.5
07/06/2020,2020,6,7,21.5,20,23,,50,1020.3
08/06/2020,2020,6,8,21.6,19,23.2,,46.3,1021.2
09/06/2020,2020,6,9,22,20,24,,40.8,1020.4
10/06/2020,2020,6,10,22.3,21,24,,48.2,1020.8
11/06/2020,2020,6,11,22.4,21,24,,48.2,1021.2
12/06/2020,2020,6,12,23.2,21,25,,42.6,1019.6
13/06/2020,2020,6,13,23.1,21,25.2,,35.2,1018.3
14/06/2020,2020,6,14,23.4,21.7,26,,29.6,1019.3
15/06/2020,2020,6,15,23,22,25.3,,37,1020.8
16/06/2020,2020,6,16,22.5,21,24.4,,38.9,1020.3
17/06/2020,2020,6,17,21.2,20,23,,46.3,1020.2
18/06/2020,2020,6,18,22,20,23.4,,51.8,1021.6
19/06/2020,2020,6,19,22.3,21,23.4,,44.5,1021.8
20/06/2020,2020,6,20,22.2,21,23,,44.5,1022.2
21/06/2020,2020,6,21,22.2,20,25,,44.5,1021.5
22/06/2020,2020,6,22,22.6,20.6,26,,38.9,1019.1
23/06/2020,2020,6,23,23,21,25,,29.6,1018.9
24/06/2020,2020,6,24,23.3,21.6,25.2,,35.2,1019.5
25/06/2020,2020,6,25,22.7,21,25,,42.6,1020
26/06/2020,2020,6,26,22.8,22,24.1,,46.3,1020.9
27/06/2020,2020,6,27,22.2,21.6,23.1,,42.6,1020.7
28/06/2020,2020,6,28,22.5,20.9,25,,35.2,1019.6
29/06/2020,2020,6,29,22.2,20,25.2,,31.5,1018.9
30/06/2020,2020,6,30,21.7,18,25,,25.9,1017.5
01/07/2020,2020,7,1,20.9,16.9,25,,29.6,1017.9
02/07/2020,2020,7,2,22.4,21,24,,40.8,1019.2
03/07/2020,2020,7,3,22.4,20,24.4,,40.8,1020.6
04/07/2020,2020,7,4,21.4,19,24.1,,33.3,1020.6
05/07/2020,2020,7,5,22.3,21,24,,38.9,1019.5
06/07/2020,2020,7,6,23,22,24.1,,37,1018.4
07/07/2020,2020,7,7,23.5,22,26.4,,33.3,1019.5
08/07/2020,2020,7,8,22.8,21.8,25,,35.2,1021.7
09/07/2020,2020,7,9,22,20,24,,42.6,1022.7
10/07/2020,2020,7,10,21.9,19.7,23.4,,50,1023.8
11/07/2020,2020,7,11,21.4,18.8,24.5,,48.2,1024.2
12/07/2020,2020,7,12,22.4,21,25,,46.3,1022.4
13/07/2020,2020,7,13,22.7,21,25,,44.5,1018.7
14/07/2020,2020,7,14,22.5,20,25,,33.3,1018.6
15/07/2020,2020,7,15,23.1,21.4,26,,38.9,1020.6
16/07/2020,2020,7,16,21.7,19,24.1,,33.3,1019
17/07/2020,2020,7,17,22.2,19.9,25,,33.3,1017.7
18/07/2020,2020,7,18,21.9,20.9,24,,40.8,1020
19/07/2020,2020,7,19,20.7,19,23,,42.6,1021.9
20/07/2020,2020,7,20,21.3,19,23.2,,42.6,1021.6
21/07/2020,2020,7,21,21.4,19,23.4,,40.8,1020.5
22/07/2020,2020,7,22,20.4,18,22.2,,38.9,1018.8
23/07/2020,2020,7,23,21.2,19,23.4,,46.3,1018.9
24/07/2020,2020,7,24,20.6,18,22,,51.8,1020.9
25/07/2020,2020,7,25,20.5,18.8,22.2,,48.2,1022.8
26/07/2020,2020,7,26,21.1,20,22.9,,48.2,1023
27/07/2020,2020,7,27,22.1,21,24.2,,40.8,1020.9
28/07/2020,2020,7,28,21.4,17.8,25,,27.8,1020
29/07/2020,2020,7,29,22.5,20,25,,35.2,1020.4
30/07/2020,2020,7,30,22.6,21,25,,31.5,1020.2
31/07/2020,2020,7,31,22.5,20.2,25,,24.1,1019.8
01/08/2020,2020,8,1,22.6,19.5,25,,33.3,1021.5
02/08/2020,2020,8,2,22.2,20,24,,38.9,1024
03/08/2020,2020,8,3,21.6,21,23,,44.5,1025.2
04/08/2020,2020,8,4,20.5,18.5,22,,46.3,1023.3
05/08/2020,2020,8,5,20.4,18,22.2,,38.9,1021.5
06/08/2020,2020,8,6,21,19,23,,35.2,1020.6
07/08/2020,2020,8,7,20.7,17.7,24,,35.2,1020.8
08/08/2020,2020,8,8,20.5,17,25,,22.2,1018.7
09/08/2020,2020,8,9,21.1,20,23.5,,44.5,1019
10/08/2020,2020,8,10,20.9,19,23,,35.2,1019.5
11/08/2020,2020,8,11,19.8,14,24,,24.1,1019.3
12/08/2020,2020,8,12,21.7,20,24,,31.5,1020
13/08/2020,2020,8,13,21.9,19.5,25,,35.2,1019.6
14/08/2020,2020,8,14,21.9,19,25.6,,25.9,1018.3
15/08/2020,2020,8,15,22.5,20,25,,35.2,1019.5
16/08/2020,2020,8,16,23,21,25.2,,44.5,1020.8
17/08/2020,2020,8,17,22.8,19,25.2,,38.9,1020.7
18/08/2020,2020,8,18,22.8,20,25.4,,42.6,1021.2
19/08/2020,2020,8,19,22.9,21.7,26,,44.5,1020.9
20/08/2020,2020,8,20,22.5,20,25.5,,35.2,1020.1
21/08/2020,2020,8,21,21.8,16.7,25,,29.6,1021
22/08/2020,2020,8,22,22.4,20,25,,31.5,1021.4
23/08/2020,2020,8,23,22.5,21,25,,35.2,1021.6
24/08/2020,2020,8,24,22.6,21,24.4,,38.9,1021.5
25/08/2020,2020,8,25,22.6,21,25.6,,35.2,1022.2
26/08/2020,2020,8,26,22.2,20,25,,35.2,1022.5
27/08/2020,2020,8,27,22.3,18.6,25,,35.2,1021.3
28/08/2020,2020,8,28,22.3,19.4,25.4,,31.5,1019.8
29/08/2020,2020,8,29,22.1,21,24,,38.9,1020.3
30/08/2020,2020,8,30,22.4,21,25,,42.6,1021.3
31/08/2020,2020,8,31,22.2,20,24.6,,44.5,1021.4
01/09/2020,2020,9,1,22.4,19,25,,40.8,1021.1
02/09/2020,2020,9,2,22.4,20,25,,31.5,1017.9
03/09/2020,2020,9,3,22.1,20,25.4,,33.3,1015.1
04/09/2020,2020,9,4,20.5,18,24,,46.3,1014.2
05/09/2020,2020,9,5,21.2,19,24,,40.8,1014.2
06/09/2020,2020,9,6,22.1,17.7,26,,31.5,1015.8
07/09/2020,2020,9,7,22,19,25.6,,33.3,1018.5
08/09/2020,2020,9,8,23.1,21,26,,38.9,1021.8
09/09/2020,2020,9,9,22.6,21,25,,44.5,1023.2
10/09/2020,2020,9,10,22.2,21,25,,44.5,1021.1
11/09/2020,2020,9,11,22.9,21,25.5,,42.6,1020.2
12/09/2020,2020,9,12,22.6,21,25,,33.3,1020.6
13/09/2020,2020,9,13,22.2,20,25,,31.5,1020.9
14/09/2020,2020,9,14,21.6,20,23.4,,46.3,1022
15/09/2020,2020,9,15,20.2,18,23,,42.6,1021.8
16/09/2020,2020,9,16,21.4,18,24,,37,1020.6
17/09/2020,2020,9,17,21.7,18,25,,38.9,1022.5
18/09/2020,2020,9,18,23.1,19,26,,37,1022.5
19/09/2020,2020,9,19,22.2,19,24.5,,38.9,1021.5
20/09/2020,2020,9,20,23,21.8,25,,38.9,1021
21/09/2020,2020,9,21,23.2,21,26,,42.6,1021.5
22/09/2020,2020,9,22,22.6,21,25.4,,38.9,1021.1
23/09/2020,2020,9,23,22.1,17,25,,33.3,1019.4
24/09/2020,2020,9,24,21.5,17,25,,31.5,1019.8
25/09/2020,2020,9,25,22,17,26,,31.5,1020.4
26/09/2020,2020,9,26,22.5,20,26.1,,37,1019.2
27/09/2020,2020,9,27,22.2,20,25,,37,1018.2
28/09/2020,2020,9,28,23.6,21,26.4,,35.2,1019.4
29/09/2020,2020,9,29,23.6,22,26,,35.2,1019.5
30/09/2020,2020,9,30,22.9,20,26,,37,1017.8
01/10/2020,2020,10,1,22.4,18,27,,27.8,1016.7
02/10/2020,2020,10,2,22.3,18,26.4,,25.9,1016.2
03/10/2020,2020,10,3,22.5,17,27.5,,29.6,1016.7
04/10/2020,2020,10,4,23.9,21,28.5,0,29.6,1016.6
05/10/2020,2020,10,5,22.3,21,23.9,,33.3,1017.1
06/10/2020,2020,10,6,23.3,21,26,,33.3,1016.4
07/10/2020,2020,10,7,23.8,20,27.9,,33.3,1016.9
08/10/2020,2020,10,8,25,23,28.3,,44.5,1016.6
09/10/2020,2020,10,9,24.8,23,28,,38.9,1016.4
10/10/2020,2020,10,10,24.4,22,27.5,,33.3,1017.2
11/10/2020,2020,10,11,24.3,21.8,27.1,,31.5,1017.6
12/10/2020,2020,10,12,23.7,22,26.5,,35.2,1017.5
13/10/2020,2020,10,13,24,21,27,,37,1017.7
14/10/2020,2020,10,14,24.9,23,27.4,,35.2,1018.7
15/10/2020,2020,10,15,24,21,27,,29.6,1018.9
16/10/2020,2020,10,16,24,21,28,,31.5,1017.1
17/10/2020,2020,10,17,23.7,20,27,,29.6,1016.3
18/10/2020,2020,10,18,24.1,19,27.2,,31.5,1016.9
19/10/2020,2020,10,19,24.8,23,27.1,,38.9,1017.2
20/10/2020,2020,10,20,24.9,23,27.1,,38.9,1017.4
21/10/2020,2020,10,21,24.8,23,27.5,,38.9,1018.8
22/10/2020,2020,10,22,24.9,22,27.4,,37,1019.3
23/10/2020,2020,10,23,24.4,22,27,,35.2,1018.7
24/10/2020,2020,10,24,24.2,23,27,,37,1018.2
25/10/2020,2020,10,25,23.6,21,26,,38.9,1018.1
26/10/2020,2020,10,26,24.4,22,27,,40.8,1018.1
27/10/2020,2020,10,27,24.3,21,27.4,,33.3,1017.3
28/10/2020,2020,10,28,23.9,20,28,,27.8,1018
29/10/2020,2020,10,29,23.3,21,26.6,,44.5,1020.3
30/10/2020,2020,10,30,22.5,20.6,25.5,,50,1021.3
31/10/2020,2020,10,31,21.7,20,25,,44.5,1017.6
01/11/2020,2020,11,1,22.3,19,26,,40.8,1016.5
02/11/2020,2020,11,2,22.5,18,25.2,,33.3,1018.3
03/11/2020,2020,11,3,22.9,21,25.2,,33.3,1020
04/11/2020,2020,11,4,23.3,20,26.4,,35.2,1019.4
05/11/2020,2020,11,5,23.9,21,27,,33.3,1018.8
06/11/2020,2020,11,6,24.1,22,27,,37,1019.2
07/11/2020,2020,11,7,23.6,19,27.1,,35.2,1020.2
08/11/2020,2020,11,8,24.5,22,27.5,,37,1020.9
09/11/2020,2020,11,9,24,22,27,,38.9,1020.6
10/11/2020,2020,11,10,24.2,22,27,,35.2,1018.4
11/11/2020,2020,11,11,24.7,22,27.2,,37,1016.7
12/11/2020,2020,11,12,24.9,21,29,,38.9,1016.3
13/11/2020,2020,11,13,25.1,21,29,,38.9,1014.5
14/11/2020,2020,11,14,23.9,22,27,,27.8,1012.5
15/11/2020,2020,11,15,23.3,22,24.7,,35.2,1013.7
16/11/2020,2020,11,16,23.4,22,26.6,,35.2,1014.7
17/11/2020,2020,11,17,23.4,22,25.2,,33.3,1014
18/11/2020,2020,11,18,23.3,21,26.8,0.3,33.3,1013
19/11/2020,2020,11,19,24,22,26,,33.3,1012.5
20/11/2020,2020,11,20,22.5,21,24,,29.6,1012
21/11/2020,2020,11,21,23.4,19,28,,27.8,1012.6
22/11/2020,2020,11,22,24.2,20,28,,29.6,1016.3
23/11/2020,2020,11,23,24.6,23,27,,33.3,1017.9
24/11/2020,2020,11,24,24.9,23,27,,35.2,1017.4
25/11/2020,2020,11,25,25.7,24,28,,37,1016.2
26/11/2020,2020,11,26,25.4,24,28,,38.9,1017.3
27/11/2020,2020,11,27,25,23,27.4,,37,1017.4
28/11/2020,2020,11,28,24.7,23,27.4,,37,1015.9
29/11/2020,2020,11,29,25.3,23,28.4,,35.2,1014.7
30/11/2020,2020,11,30,25.7,24,28,,40.8,1013.9
01/12/2020,2020,12,1,26.2,24,28.4,,35.2,1015
02/12/2020,2020,12,2,26.7,24,30,,37,1015.2
03/12/2020,2020,12,3,26.8,25,30,0,37,1016.5
04/12/2020,2020,12,4,26.4,23.6,29.6,0,35.2,1015.8
05/12/2020,2020,12,5,26.4,22.4,30.1,0,33.3,1014.9
06/12/2020,2020,12,6,26.2,23,29,,33.3,1015.6
07/12/2020,2020,12,7,27.1,24,30,,33.3,1015.2
08/12/2020,2020,12,8,26.6,23,30,,29.6,1014
09/12/2020,2020,12,9,24.8,23,27,,38.9,1014.6
10/12/2020,2020,12,10,24.6,23.7,26.5,,38.9,1016
11/12/2020,2020,12,11,25.8,24,29,,35.2,1016.3
12/12/2020,2020,12,12,25.3,23,28,,35.2,1016.3
13/12/2020,2020,12,13,25.3,23.9,28.1,,38.9,1014.7
14/12/2020,2020,12,14,25.4,24,28,,35.2,1012.5
15/12/2020,2020,12,15,25.8,24,28.5,,38.9,1013.4
16/12/2020,2020,12,16,26.6,25,29.2,,38.9,1015.2
17/12/2020,2020,12,17,25.7,23,28,,37,1015.7
18/12/2020,2020,12,18,26.1,23,29,,37,1015
19/12/2020,2020,12,19,26.4,24,29,,35.2,1014.7
20/12/2020,2020,12,20,26.6,23.9,29.1,,33.3,1015
21/12/2020,2020,12,21,26.7,25,29,,33.3,1014.8
22/12/2020,2020,12,22,26.5,24,29,,40.8,1014.1
23/12/2020,2020,12,23,25.9,25,29,,42.6,1012.8
24/12/2020,2020,12,24,26.6,25,28.7,,44.5,1011
25/12/2020,2020,12,25,26.8,25,29.6,,44.5,1010.7
26/12/2020,2020,12,26,26.6,25,30,,42.6,1012.7
27/12/2020,2020,12,27,26.3,24.4,28.6,,40.8,1014
28/12/2020,2020,12,28,26.3,23,29,,38.9,1014.5
29/12/2020,2020,12,29,25.9,23,28.4,,37,1013.6
30/12/2020,2020,12,30,26.4,24.7,29,,38.9,1013.7
31/12/2020,2020,12,31,26.7,24,29,,40.8,1015
01/01/2021,2021,1,1,25.9,24.9,28.1,,40.8,1015.5
02/01/2021,2021,1,2,26.5,25,28.7,,37,1015.3
03/01/2021,2021,1,3,26.1,24,28.2,,35.2,1013.6
04/01/2021,2021,1,4,25.1,23,28,,31.5,1012.5
05/01/2021,2021,1,5,26.2,24,29,,35.2,1012.9
06/01/2021,2021,1,6,26.5,23,30,,33.3,1013.2
07/01/2021,2021,1,7,25.8,22,28.6,,33.3,1011.5
08/01/2021,2021,1,8,26.4,23.4,29,0,33.3,1009.2
09/01/2021,2021,1,9,26.9,24.7,29.6,0,35.2,1008.3
10/01/2021,2021,1,10,26.8,25,29.6,3,35.2,1007.2
11/01/2021,2021,1,11,27.3,24.7,30.3,6.1,31.5,1007.3
12/01/2021,2021,1,12,26.7,24.5,29.9,20.1,42.6,1010.7
13/01/2021,2021,1,13,26.4,24.3,29.8,3,38.9,1011.8
14/01/2021,2021,1,14,26.7,24,29.5,1,33.3,1011.4
15/01/2021,2021,1,15,27.4,24.5,30.5,2,29.6,1011
16/01/2021,2021,1,16,27.6,25.5,30.2,0,35.2,1011.2
17/01/2021,2021,1,17,27.7,25.5,30.2,0.5,35.2,1011
18/01/2021,2021,1,18,27.3,25,31.1,0,44.5,1010
19/01/2021,2021,1,19,27.6,24.5,32.1,4.1,38.9,1010.3
20/01/2021,2021,1,20,27.8,24.4,31.5,0,35.2,1012.6
21/01/2021,2021,1,21,27.4,24.6,30.3,7.1,37,1014.1
22/01/2021,2021,1,22,27.6,24.7,30.1,0,31.5,1014.5
23/01/2021,2021,1,23,27.4,24.5,31.1,0,31.5,1013.8
24/01/2021,2021,1,24,27.2,24,31,,27.8,1013.6
25/01/2021,2021,1,25,26.3,23,30.7,0.3,27.8,1013.3
26/01/2021,2021,1,26,26.4,21,30.5,,25.9,1012
27/01/2021,2021,1,27,26.5,22,31,,29.6,1010.7
28/01/2021,2021,1,28,26.2,23,31,,33.3,1012.4
29/01/2021,2021,1,29,27.7,24,32,,37,1014.6
30/01/2021,2021,1,30,28.1,26,31,,31.5,1014.8
31/01/2021,2021,1,31,28.1,26,31,,33.3,1014.1
01/02/2021,2021,2,1,27.9,26,30.4,,35.2,1014.7
02/02/2021,2021,2,2,28.5,27,31,,35.2,1014.8
03/02/2021,2021,2,3,28,26,31,,37,1014.3
04/02/2021,2021,2,4,27.4,24,30,,35.2,1014.5
05/02/2021,2021,2,5,27.6,24,30.2,,33.3,1014.2
06/02/2021,2021,2,6,26.7,23.7,30,,35.2,1012.7
07/02/2021,2021,2,7,27.8,24,31,,40.8,1012.1
08/02/2021,2021,2,8,28.3,26,31,,33.3,1013.3
09/02/2021,2021,2,9,26.9,24,29.7,,33.3,1013.5
10/02/2021,2021,2,10,27.2,25,30.1,,33.3,1012.8
11/02/2021,2021,2,11,27.8,26,30,,33.3,1012.6
12/02/2021,2021,2,12,27.3,25,30,,33.3,1012.7
13/02/2021,2021,2,13,27.6,25,31,,35.2,1013.2
14/02/2021,2021,2,14,27,24,30,,31.5,1012.6
15/02/2021,2021,2,15,27,23,31,,33.3,1012.4
16/02/2021,2021,2,16,26.5,25,28.7,,35.2,1012.7
17/02/2021,2021,2,17,27.1,24,30,,24.1,1011.1
18/02/2021,2021,2,18,27.7,24,31.6,,24.1,1011.8
